dataset,filename,start_time,end_time,start_frequency,end_frequency,annotation,annotator,start_datetime,end_datetime
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg005.wav,7.98400441257584,9.1257584114727,2671.875,20671.875,Odontocete whistles,mdupon,2022-07-07T00:00:44.984+02:00,2022-07-07T00:00:46.125+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg060.wav,7.33866519580805,8.48593491450634,4218.75,21234.375,Odontocete whistles,mdupon,2022-07-07T00:09:54.338+02:00,2022-07-07T00:09:55.485+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg060.wav,4.87313844456702,5.7611693325979,6890.625,22500.0,Odontocete whistles,mdupon,2022-07-07T00:09:51.873+02:00,2022-07-07T00:09:52.761+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg060.wav,0,10,0,72000.0,Odontocete whistles,mdupon,2022-07-07T00:09:47.000+02:00,2022-07-07T00:09:57.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg059.wav,8.53557639271925,9.48428019856591,7875.0,21515.625,Odontocete whistles,mdupon,2022-07-07T00:09:45.535+02:00,2022-07-07T00:09:46.484+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg059.wav,0,10,0,72000.0,Odontocete whistles,mdupon,2022-07-07T00:09:37.000+02:00,2022-07-07T00:09:47.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg100.wav,6.2300055157198,6.85879757308329,12796.875,59765.625,Odontocete Buzzs,mdupon,2022-07-07T00:16:33.230+02:00,2022-07-07T00:16:33.858+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg100.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T00:16:27.000+02:00,2022-07-07T00:16:37.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg320.wav,8.30391616105902,9.26916712630998,3656.25,63562.5,Odontocete Buzzs,mdupon,2022-07-07T00:53:15.303+02:00,2022-07-07T00:53:16.269+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg320.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T00:53:07.000+02:00,2022-07-07T00:53:17.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg323.wav,8.36458907887479,9.6442360728075,6890.625,69187.5,Odontocete clics,mdupon,2022-07-07T00:53:45.364+02:00,2022-07-07T00:53:46.644+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg323.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T00:53:37.000+02:00,2022-07-07T00:53:47.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg324.wav,3.57694429123001,4.90071704357419,4921.875,28968.75,Odontocete whistles,mdupon,2022-07-07T00:53:50.576+02:00,2022-07-07T00:53:51.900+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg324.wav,0,10,0,72000.0,Odontocete whistles,mdupon,2022-07-07T00:53:47.000+02:00,2022-07-07T00:53:57.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg322.wav,6.7319360176503,7.63651406508549,6328.125,63703.125,Odontocete clics,mdupon,2022-07-07T00:53:33.731+02:00,2022-07-07T00:53:34.636+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg322.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T00:53:27.000+02:00,2022-07-07T00:53:37.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg334.wav,2.0876999448428,3.16878102592388,4781.25,67218.75,Odontocete Buzzs,mdupon,2022-07-07T00:55:29.087+02:00,2022-07-07T00:55:30.168+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg334.wav,0.565361279646994,2.18698290126862,4359.375,69187.5,Odontocete clics,mdupon,2022-07-07T00:55:27.565+02:00,2022-07-07T00:55:29.186+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg334.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T00:55:27.000+02:00,2022-07-07T00:55:37.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg334.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T00:55:27.000+02:00,2022-07-07T00:55:37.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg331.wav,3.3177054605626,9.07060121345835,23203.125,69328.125,Odontocete clics,mdupon,2022-07-07T00:55:00.317+02:00,2022-07-07T00:55:06.070+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg331.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T00:54:57.000+02:00,2022-07-07T00:55:07.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg341.wav,6.12520683949255,7.4103695532267,19828.125,66937.5,Odontocete clics,mdupon,2022-07-07T00:56:43.125+02:00,2022-07-07T00:56:44.410+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg341.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T00:56:37.000+02:00,2022-07-07T00:56:47.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg349.wav,8.94925537782681,9.67181467181467,24328.125,64265.625,Odontocete clics,mdupon,2022-07-07T00:58:05.949+02:00,2022-07-07T00:58:06.671+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg349.wav,7.9123000551572,9.142305570877,11250.0,68203.125,Odontocete Buzzs,mdupon,2022-07-07T00:58:04.912+02:00,2022-07-07T00:58:06.142+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg349.wav,3.40595697738555,3.85273028130171,10968.75,67218.75,Odontocete Buzzs,mdupon,2022-07-07T00:58:00.405+02:00,2022-07-07T00:58:00.852+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg349.wav,0,10,0,72000.0,Odontocete clics,mdupon,2022-07-07T00:57:57.000+02:00,2022-07-07T00:58:07.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg349.wav,0,10,0,72000.0,Odontocete Buzzs,mdupon,2022-07-07T00:57:57.000+02:00,2022-07-07T00:58:07.000+02:00
APOCADO_IROISE_C2D1_07072022 (10_144000),335556632.220706235947_seg356.wav,7.09597352454495,7.75234418091561,13921.875,50906.25,Odontocete Buzzs,mdupon,2022-07-07T00:59:14.095+02:00,2022-07-07T00:59:14.752+02:00
